city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Verkiai;Trinapolio g.;499 000 € (4 455 €/m²);3;;112 m²;4;5;9;2020;Monolithic;Central thermostat;Fully equipped;A;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Dish washer Shower Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;80 m;300 m;280 m;290 m;"62,72 €/month
~ 0,56 €/m²";;
Vilnius;Baltupiai;Jurgio Lebedžio g.;125 000 € (3 233 €/m²);;;38,66 m²;2;1;5;2017;Brick;Central thermostat;Fully equipped;;;;;;190 m;790 m;290 m;220 m;2;;
Vilnius;Vilkpėdė;Vilkpėdės g.;"Price decreased 1,1%
177 000 € (3 105 €/m²)";7;;57 m²;3;3;6;2009;Brick;Central thermostat;Fully equipped;B;Private entrance New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Shower;Steel doors Alarm system Code door lock Video surveillance Guard;550 m;510 m;220 m;270 m;"33,63 €/month
~ 0,59 €/m²";;
Vilnius;Senamiestis;Klaipėdos g.;220 200 € (5 998 €/m²);7A;;36,71 m²;1;1;3;2013;Brick;Central thermostat;Fully equipped;;Internet New sewage system New electrical installation Kitchen merged with room Cable television;Balcony Parking space Storeroom Terrace;Furniture Conditioner Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Alarm system Guard Video surveillance Code door lock;170 m;40 m;310 m;80 m;"26,80 €/month
~ 0,73 €/m²";;
Vilnius;Pašilaičiai;Eitminų g.;149 900 € (2 593 €/m²);12;;57,8 m²;2;5;9;2015;Brick;Central thermostat;Fully equipped;;Internet Kitchen merged with room;Balcony;;Steel doors Alarm system Code door lock;70 m;910 m;430 m;170 m;"31,21 €/month
~ 0,54 €/m²";;
Vilnius;Naujamiestis;K. Donelaičio g.;594 400 € (3 999 €/m²);6A;;148,64 m²;4;8;9;2002;Brick;Central thermostat;Fully equipped;;Private yard Internet New sewage system New electrical installation Kitchen merged with room Cable television;Balcony Parking space Terrace;Furniture Conditioner Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Guard Video surveillance Code door lock;110 m;270 m;380 m;290 m;22;;
Vilnius;Burbiškės;Burbiškių g.;"Price increased 10,1%
219 000 € (2 190 €/m²)";;;100 m²;4;3;3;2010;Brick;Central thermostat;Fully equipped;;Private yard Internet;Terrace;Furniture Fireplace Shower Bath;Code door lock Video surveillance;1,6 km;470 m;1,1 km;430 m;0;;
Vilnius;Naujininkai;Eišiškių pl.;118 000 € (2 744 €/m²);47;;43 m²;3;4;4;2019;Monolithic;Central thermostat;Fully equipped;;Private yard Internet Kitchen merged with room;Parking space;Furniture Kitchen furniture;;2 km;90 m;1,4 km;150 m;2;;
Vilnius;Šnipiškės;Slucko g.;299 000 € (4 983 €/m²);14;;60 m²;2;2;3;2023;Brick;Gas;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors;110 m;390 m;330 m;150 m;23;;
Vilnius;Senamiestis;Vingrių g.;"Price decreased 14,7%
579 000 € (4 523 €/m²)";19A;;128 m²;5;1;4;2019;Brick;Central thermostat;Fully equipped;;Private entrance High ceiling;Parking space;Floor heating system Shower Recuperation;;280 m;140 m;160 m;210 m;"116,48 €/month
~ 0,91 €/m²";;
Vilnius;Pašilaičiai;Laisvės pr.;"Price decreased 0,3%
193 000 € (2 757 €/m²)";;;70 m²;3;1;7;2018;Brick;Central thermostat;Fully equipped;B;Internet Separate bathroom and WC Kitchen merged with room Cable television;Balcony;Washing machine Bath;Steel doors Code door lock;180 m;320 m;130 m;70 m;4;;
Vilnius;Burbiškės;Eišiškių pl.;"Price increased 6,1%
175 000 € (2 612 €/m²)";47;;67 m²;3;2;5;2019;Monolithic;Other;Partially equipped;;;;;;2 km;90 m;1,4 km;150 m;2;;
Vilnius;Naujamiestis;Statybininkų g.;329 000 € (4 796 €/m²);1;65;68,6 m²;3;7;9;2018;Brick;Central thermostat;Fully equipped;;Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Code door lock;160 m;230 m;260 m;290 m;"38,42 €/month
~ 0,56 €/m²";;
Vilnius;Senamiestis;Vingrių g.;"Price decreased 12,5%
699 000 € (4 691 €/m²)";;;149 m²;4;1;4;2019;Brick;Central thermostat;Fully equipped;;Private entrance High ceiling Separate bathroom and WC Kitchen merged with room;Parking space;Floor heating system Shower Bath Recuperation;;280 m;140 m;160 m;210 m;"135,59 €/month
~ 0,91 €/m²";;
Vilnius;Pašilaičiai;Gabijos g.;"Price decreased 1,3%
112 500 € (2 254 €/m²)";;;49,92 m²;2;5;5;1987;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;180 m;180 m;370 m;200 m;"51,92 €/month
~ 1,04 €/m²";;
Vilnius;Šnipiškės;Giedraičių g.;133 999 € (3 972 €/m²);39;;33,74 m²;1;5;10;2018;Brick;Central thermostat;Fully equipped;A;Internet Cable television Kitchen merged with room;Balcony Terrace;Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;240 m;490 m;250 m;180 m;"18,56 €/month
~ 0,55 €/m²";;
Vilnius;Šnipiškės;Kalvarijų g.;"Price decreased 0,1%
67 900 € (3 994 €/m²)
(interested in changing)";194;;17 m²;1;12;12;1985;Brick;Central;Fully equipped;;Cable television Internet New sewage system New electrical installation Kitchen merged with room;Parking space;Furniture Plastic pipes Washing machine Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock Video surveillance;240 m;180 m;100 m;160 m;"22,10 €/month
~ 1,30 €/m²";;
Vilnius;Santariškės;Santariškių g.;200 000 € (2 739 €/m²);37C;;73,02 m²;3;3;3;2006;Brick;Central thermostat;Fully equipped;;Two-floor flat Kitchen merged with room;Storeroom Balcony Parking space Closet;Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Code door lock;180 m;1,8 km;140 m;290 m;"61,34 €/month
~ 0,84 €/m²";;
Vilnius;Naujamiestis;Šermukšnių g.;299 000 € (3 804 €/m²);8;;78,6 m²;2;1;5;1965 construction, 2021 renovation;Brick;Central;Fully equipped;;New sewage system New electrical installation Private yard Internet;Cellar Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;430 m;390 m;270 m;140 m;"70,74 €/month
~ 0,90 €/m²";;
Vilnius;Baltupiai;Juozo Balčikonio g.;"Price decreased 2,6%
190 000 € (2 809 €/m²)";7;22;67,64 m²;2;1;5;2012;Monolithic;Central;Fully equipped;;;;;;250 m;700 m;230 m;140 m;2;;
Vilnius;Lazdynai;Erfurto g.;102 900 € (3 171 €/m²);35;;32,45 m²;2;4;9;1971;Block house;Central;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Storeroom Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors;330 m;410 m;140 m;50 m;"33,42 €/month
~ 1,03 €/m²";;
Vilnius;Baltupiai;Ozo g.;177 880 € (3 781 €/m²);8A;;47,05 m²;2;3;8;2022;Brick;Central thermostat;Fully equipped;A;New sewage system New electrical installation Internet Kitchen merged with room;Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock Video surveillance;360 m;420 m;370 m;280 m;7;;
Vilnius;Senamiestis;Vingrių g.;1 200 000 € (4 332 €/m²);;;277 m²;5;1;4;2019;Brick;Central thermostat;Fully equipped;;Private entrance High ceiling;Parking space;Furniture Floor heating system Shower Bath Recuperation;Alarm system;280 m;140 m;160 m;210 m;"252,07 €/month
~ 0,91 €/m²";;
Vilnius;Žemieji Paneriai;Vaduvos g.;175 000 € (1 058 €/m²);34A;;165,39 m²;5;1;2;2009;Brick;Solid fuel;Fully equipped;;Private entrance High ceiling Two-floor flat Internet Cable television Kitchen merged with room;Storeroom Terrace Cellar Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Fireplace Plastic pipes Shower Bath;Steel doors;1,8 km;260 m;670 m;330 m;1;;
Vilnius;Naujamiestis;Švitrigailos g.;45 000 € (2 368 €/m²);7;;19 m²;1;4;4;1955 construction, 2024 renovation;Brick;Central;Partially equipped;;Private entrance High ceiling New electrical installation Private yard Kitchen merged with room;Balcony;Conditioner;Steel doors Alarm system Code door lock Video surveillance;170 m;120 m;90 m;30 m;"17,67 €/month
~ 0,93 €/m²";;
Vilnius;Kalnėnai;Lukšinės g.;197 800 € (2 300 €/m²);;;86 m²;3;2;2;2024;Brick;Gas;Partially equipped;A++;Private yard;Terrace Parking space;Floor heating system;;1,7 km;1,7 km;1,2 km;220 m;1;;
Vilnius;Kalnėnai;Lukšinės g.;245 000 € (2 500 €/m²);54;;98 m²;4;2;2;2024;Brick;Gas;Partially equipped;;Private yard;Terrace Parking space;Floor heating system;;1,7 km;1,7 km;1,2 km;220 m;1;;
Vilnius;Šeškinė;Gelvonų g.;"95 400 € (1 897 €/m²)
(interested in changing)";10;;50,3 m²;2;4;9;1982;Block house;Central;Fully equipped;;Separate bathroom and WC Private yard Internet;Cellar;Stove Bath;Steel doors Code door lock Video surveillance;210 m;120 m;490 m;190 m;"74,95 €/month
~ 1,49 €/m²";;
Vilnius;Naujamiestis;Vytenio g.;"Price increased 7,4%
179 000 € (5 348 €/m²)";15;;33,47 m²;2;1;5;2023;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;90 m;210 m;310 m;270 m;14;;
Vilnius;Naujamiestis;Vytenio g.;182 775 € (5 087 €/m²);15;;35,93 m²;2;1;5;2023;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;90 m;210 m;310 m;270 m;14;;
Vilnius;Naujamiestis;Kedrų g.;1 017 000 € (4 068 €/m²);6;;250 m²;13;2;5;1982;Brick;Central;Fully equipped;;Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;310 m;210 m;80 m;220 m;"267,50 €/month
~ 1,07 €/m²";;
Vilnius;Naujininkai;Meistrų g.;27 000 € (1 588 €/m²);8;;17 m²;1;2;4;1981 construction, 2023 renovation;Brick;Gas;Partially equipped;;;;;;1 km;1,5 km;1,7 km;110 m;0;;
Vilnius;Kalnėnai;Kašubų g.;"Price decreased 4,6%
209 000 € (3 060 €/m²)";3;;68,31 m²;3;1;3;2020;Brick;Central thermostat;Fully equipped;A+;Private entrance Private yard Internet;Terrace Parking space;Furniture Kitchen furniture Plastic pipes Recuperation;Steel doors Alarm system Code door lock Video surveillance;1,2 km;1,3 km;1,4 km;350 m;1;;
Vilnius;Karoliniškės;Laisvės pr.;"Price decreased 6,5%
93 000 € (1 914 €/m²)";;;48,6 m²;2;8;12;1975;Block house;Central;Fully equipped;;Has elevator Separate bathroom and WC;Balcony;Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower;Code door lock;180 m;350 m;420 m;80 m;"62,21 €/month
~ 1,28 €/m²";;
Vilnius;Pilaitė;Pakarvių g.;208 000 € (3 467 €/m²);8;;60 m²;3;1;2;2019;Brick;Gas;Fully equipped;A;Private entrance High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower;;850 m;1 km;470 m;120 m;2;;
Vilnius;Naujamiestis;Savanorių pr.;"Price decreased 9,1%
100 000 € (2 128 €/m²)";40;;47 m²;2;2;9;1977;Block house;Central;Fully equipped;;;Balcony;Kitchen furniture Stove Bath;Code door lock;170 m;340 m;120 m;70 m;"79,43 €/month
~ 1,69 €/m²";;
Vilnius;Karoliniškės;Apolinaro Juozo Povilaičio g.;"Price decreased 5,7%
99 000 € (1 557 €/m²)";14;;63,6 m²;3;7;9;1974;Block house;Central;Fully equipped;G;Has elevator Separate bathroom and WC;Storeroom Balcony Cellar;Stove Bath;Steel doors Code door lock;430 m;120 m;360 m;220 m;13;;
Vilnius;Naujininkai;Dariaus ir Girėno g.;"Price decreased 7,7%
60 000 € (1 700 €/m²)";11;316;35,3 m²;2;3;5;1940;Brick;Central;Fully equipped;;;;;;180 m;260 m;110 m;70 m;6;;
Vilnius;Lazdynai;Architektų g.;"Price decreased 3,4%
169 000 € (2 370 €/m²)";91;;71,3 m²;3;16;16;1984 construction, 2010 renovation;Monolithic;Central;Fully equipped;;Has elevator Separate bathroom and WC Cable television;Storeroom Balcony Terrace Closet;Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock Video surveillance;260 m;150 m;220 m;90 m;"80,57 €/month
~ 1,13 €/m²";;
Vilnius;Pilaitė;Smalinės g.;130 000 € (1 860 €/m²);1;;69,9 m²;3;5;5;1993;Block house;Central;Fully equipped;;Separate bathroom and WC Private yard Internet Cable television;Storeroom Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;160 m;310 m;300 m;60 m;2;;
Vilnius;Antakalnis;Smėlio g.;300 000 € (5 951 €/m²);31;;50,41 m²;2;5;7;2019;Brick;Central thermostat;Fully equipped;A;Has elevator High ceiling Kitchen merged with room;Balcony Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Dish washer Shower Recuperation;Code door lock Video surveillance;380 m;90 m;110 m;80 m;"24,20 €/month
~ 0,48 €/m²";;
Vilnius;Viršuliškės;Viršuliškių g.;"Price decreased 0,3%
126 500 € (1 972 €/m²)";8;;64,16 m²;3;4;5;1977;Block house;Central;Fully equipped;;;;;;140 m;120 m;350 m;100 m;"63,52 €/month
~ 0,99 €/m²";;
Vilnius;Senamiestis;Didžioji g.;949 000 € (9 989 €/m²);;;95 m²;3;2;3;1800;Brick;Central;Fully equipped;;High ceiling Separate bathroom and WC New sewage system New electrical installation Private yard Internet Kitchen merged with room;Parking space Closet;Conditioner Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Alarm system;420 m;140 m;40 m;160 m;28;;
Vilnius;Šnipiškės;Giedraičių g.;"Price decreased 0,7%
87 900 € (2 585 €/m²)";;;34 m²;1;3;5;1979;Block house;Central;Fully equipped;;;;;;180 m;210 m;140 m;320 m;"50,66 €/month
~ 1,49 €/m²";;
Vilnius;Žirmūnai;Žirmūnų g.;"Price decreased 0,5%
108 500 € (2 291 €/m²)";39;;47,36 m²;2;5;5;1965;Block house;Central;Fully equipped;;New sewage system Internet Cable television;Balcony Cellar;Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;180 m;110 m;320 m;240 m;"53,52 €/month
~ 1,13 €/m²";;
Vilnius;Bajorai;Mokslininkų g.;153 000 € (2 833 €/m²);5;5;54 m²;2;1;2;2003;Brick;Gas;Fully equipped;;Private yard Kitchen merged with room;Storeroom Parking space;Washing machine Refrigerator Kitchen furniture Stove Shower;Steel doors;240 m;1,1 km;40 m;140 m;1;;
Vilnius;Naujoji Vilnia;A. Kojelavičiaus g.;23 000 € (617 €/m²);288;;37,26 m²;2;1;1;1940;Log house;Other;Not equipped;;Private entrance;;;;170 m;340 m;960 m;230 m;1;;
Vilnius;Žemieji Paneriai;Vaduvos g.;74 000 € (2 090 €/m²);4;;35,41 m²;1;3;5;1991;Block house;Central;Fully equipped;;Separate bathroom and WC;Balcony;Bath;Steel doors Code door lock;1,8 km;310 m;160 m;50 m;"27,62 €/month
~ 0,78 €/m²";;
Vilnius;Naujamiestis;Kedrų g.;83 900 € (3 814 €/m²);6;;22 m²;1;3;5;1982;Brick;Central;Fully equipped;;Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;310 m;210 m;80 m;220 m;"23,54 €/month
~ 1,07 €/m²";;
Vilnius;Justiniškės;Taikos g.;126 000 € (1 876 €/m²);181;;67,15 m²;3;8;9;1985;Block house;Central;Fully equipped;;Separate bathroom and WC;Storeroom Balcony Cellar;Furniture Kitchen furniture;Code door lock;90 m;130 m;200 m;160 m;"68,49 €/month
~ 1,02 €/m²";;
Vilnius;Antakalnis;P. Vileišio g.;"Price decreased 6,7%
139 900 € (3 145 €/m²)";28;24;44,48 m²;2;1;5;1964 construction, 2016 renovation;Block house;Central;Fully equipped;;;;;;320 m;350 m;220 m;220 m;14;;
Vilnius;Šnipiškės;Daugėliškio g.;250 000 € (3 270 €/m²);3;;76,45 m²;3;4;4;2003;Brick;Central;Fully equipped;;High ceiling Flat in an attic Separate bathroom and WC Private yard Kitchen merged with room;Balcony;Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock;330 m;400 m;190 m;70 m;"63,45 €/month
~ 0,83 €/m²";;
Vilnius;Šeškinė;Gelvonų g.;129 000 € (2 555 €/m²);36;;50,48 m²;2;2;9;1981;Block house;Central;Fully equipped;;Separate bathroom and WC New sewage system;Balcony Closet Cellar;Furniture Plastic pipes Washing machine Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;140 m;260 m;140 m;70 m;"64,61 €/month
~ 1,28 €/m²";;
Vilnius;Užupis;Kreivasis skg.;"Price decreased 3,2%
425 000 € (6 205 €/m²)";;;68,49 m²;3;1;3;2021;Brick;Central thermostat;Fully equipped;;;;;;210 m;250 m;320 m;190 m;5;;
Vilnius;Senamiestis;K. Vanagėlio g.;"Price decreased 2,9%
165 000 € (3 235 €/m²)";7;;51 m²;3;3;3;1964;Brick;Central;Fully equipped;;High ceiling Internet;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;160 m;50 m;220 m;90 m;13;;
Vilnius;Naujamiestis;A. Vivulskio g.;239 000 € (4 400 €/m²);12D;;54,32 m²;2;4;4;2008;Block house;Central thermostat;Fully equipped;;;;;;60 m;160 m;140 m;90 m;30;;
Vilnius;Šiaurės miestelis;V. Nagevičiaus g.;149 000 € (2 709 €/m²);1;;55 m²;2;5;5;2005;Brick;Central thermostat;Fully equipped;;;;;;220 m;90 m;310 m;290 m;13;;
Vilnius;Baltupiai;Kazio Ulvydo g.;"Price decreased 1,2%
160 000 € (3 321 €/m²)";5;;48,18 m²;2;2;5;2015;Brick;Central;Fully equipped;B;Has elevator Private yard Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;130 m;800 m;350 m;300 m;2;;
